"","agency_cd","location_id","datetime","parameter_cd","parameter_value"
"1","CDEC","MLM",2021-10-01,"20",80.5520833333333
"2","CDEC","MLM",2021-10-02,"20",79.6458333333333
"3","CDEC","MLM",2021-10-03,"20",79.21875
"4","CDEC","MLM",2021-10-04,"20",78.7604166666667
"5","CDEC","MLM",2021-10-05,"20",78.25
"6","CDEC","MLM",2021-10-06,"20",78.6354166666667
"7","CDEC","MLM",2021-10-07,"20",78.65625
"8","CDEC","MLM",2021-10-08,"20",72.9583333333333
"9","CDEC","MLM",2021-10-09,"20",73.1041666666667
"10","CDEC","MLM",2021-10-10,"20",72.6875
"11","CDEC","MLM",2021-10-11,"20",72.6458333333333
"12","CDEC","MLM",2021-10-12,"20",72.3645833333333
"13","CDEC","MLM",2021-10-13,"20",73.0104166666667
"14","CDEC","MLM",2021-10-14,"20",73.21875
"15","CDEC","MLM",2021-10-15,"20",72.5208333333333
"16","CDEC","MLM",2021-10-16,"20",72.5416666666667
"17","CDEC","MLM",2021-10-17,"20",73.0416666666667
"18","CDEC","MLM",2021-10-18,"20",96.6354166666667
"19","CDEC","MLM",2021-10-19,"20",86.8958333333333
"20","CDEC","MLM",2021-10-20,"20",92.875
"21","CDEC","MLM",2021-10-21,"20",106.375
"22","CDEC","MLM",2021-10-22,"20",453.604166666667
"23","CDEC","MLM",2021-10-23,"20",193.21875
"24","CDEC","MLM",2021-10-24,"20",2345.41666666667
"25","CDEC","MLM",2021-10-25,"20",1412.95833333333
"26","CDEC","MLM",2021-10-26,"20",404.71875
"27","CDEC","MLM",2021-10-27,"20",226.46875
"28","CDEC","MLM",2021-10-28,"20",201.135416666667
"29","CDEC","MLM",2021-10-29,"20",164.03125
"30","CDEC","MLM",2021-10-30,"20",146.677083333333
"31","CDEC","MLM",2021-10-31,"20",134.541666666667
"32","CDEC","MLM",2021-11-01,"20",126.322916666667
"33","CDEC","MLM",2021-11-02,"20",152.166666666667
"34","CDEC","MLM",2021-11-03,"20",132.885416666667
"35","CDEC","MLM",2021-11-04,"20",189.677083333333
"36","CDEC","MLM",2021-11-05,"20",162.625
"37","CDEC","MLM",2021-11-06,"20",136.489583333333
"38","CDEC","MLM",2021-11-07,"20",129.010416666667
"39","CDEC","MLM",2021-11-08,"20",121.739583333333
"40","CDEC","MLM",2021-11-09,"20",206.84375
"41","CDEC","MLM",2021-11-10,"20",208.864583333333
"42","CDEC","MLM",2021-11-11,"20",168.1875
"43","CDEC","MLM",2021-11-12,"20",158.864583333333
"44","CDEC","MLM",2021-11-13,"20",146.4375
"45","CDEC","MLM",2021-11-14,"20",137.083333333333
"46","CDEC","MLM",2021-11-15,"20",132.3125
"47","CDEC","MLM",2021-11-16,"20",127.333333333333
"48","CDEC","MLM",2021-11-17,"20",124.760416666667
"49","CDEC","MLM",2021-11-18,"20",126.208333333333
"50","CDEC","MLM",2021-11-19,"20",141.395833333333
"51","CDEC","MLM",2021-11-20,"20",145.916666666667
"52","CDEC","MLM",2021-11-21,"20",133.583333333333
"53","CDEC","MLM",2021-11-22,"20",130.3125
"54","CDEC","MLM",2021-11-23,"20",128.833333333333
"55","CDEC","MLM",2021-11-24,"20",126.291666666667
"56","CDEC","MLM",2021-11-25,"20",123.229166666667
"57","CDEC","MLM",2021-11-26,"20",122.802083333333
"58","CDEC","MLM",2021-11-27,"20",122.364583333333
"59","CDEC","MLM",2021-11-28,"20",121.677083333333
"60","CDEC","MLM",2021-11-29,"20",120.5
"61","CDEC","MLM",2021-11-30,"20",119.229166666667
"62","CDEC","MLM",2021-12-01,"20",117.395833333333
"63","CDEC","MLM",2021-12-02,"20",116.541666666667
"64","CDEC","MLM",2021-12-03,"20",116.291666666667
"65","CDEC","MLM",2021-12-04,"20",115.552083333333
"66","CDEC","MLM",2021-12-05,"20",114.71875
"67","CDEC","MLM",2021-12-06,"20",114.083333333333
"68","CDEC","MLM",2021-12-07,"20",119.395833333333
"69","CDEC","MLM",2021-12-08,"20",115.791666666667
"70","CDEC","MLM",2021-12-09,"20",119.697916666667
"71","CDEC","MLM",2021-12-10,"20",116.53125
"72","CDEC","MLM",2021-12-11,"20",113.260416666667
"73","CDEC","MLM",2021-12-12,"20",129.927083333333
"74","CDEC","MLM",2021-12-13,"20",652.479166666667
"75","CDEC","MLM",2021-12-14,"20",853.895833333333
"76","CDEC","MLM",2021-12-15,"20",458.25
"77","CDEC","MLM",2021-12-16,"20",705.979166666667
"78","CDEC","MLM",2021-12-17,"20",341.302083333333
"79","CDEC","MLM",2021-12-18,"20",240.9375
"80","CDEC","MLM",2021-12-19,"20",206.145833333333
"81","CDEC","MLM",2021-12-20,"20",186.135416666667
"82","CDEC","MLM",2021-12-21,"20",173.666666666667
"83","CDEC","MLM",2021-12-22,"20",252.052083333333
