"","agency_cd","location_id","datetime","parameter_cd","parameter_value"
"1","CDEC","VNS",2021-10-01,"20",282.427083333333
"2","CDEC","VNS",2021-10-02,"20",330.604166666667
"3","CDEC","VNS",2021-10-03,"20",378.125
"4","CDEC","VNS",2021-10-04,"20",366.552083333333
"5","CDEC","VNS",2021-10-05,"20",347.75
"6","CDEC","VNS",2021-10-06,"20",332.041666666667
"7","CDEC","VNS",2021-10-07,"20",305.712765957447
"8","CDEC","VNS",2021-10-08,"20",358.875
"9","CDEC","VNS",2021-10-09,"20",380.864583333333
"10","CDEC","VNS",2021-10-10,"20",446.197916666667
"11","CDEC","VNS",2021-10-11,"20",467.989583333333
"12","CDEC","VNS",2021-10-12,"20",484.927083333333
"13","CDEC","VNS",2021-10-13,"20",478.260416666667
"14","CDEC","VNS",2021-10-14,"20",418.916666666667
"15","CDEC","VNS",2021-10-15,"20",404.052083333333
"16","CDEC","VNS",2021-10-16,"20",433.6875
"17","CDEC","VNS",2021-10-17,"20",501.75
"18","CDEC","VNS",2021-10-18,"20",750.447916666667
"19","CDEC","VNS",2021-10-19,"20",882.114583333333
"20","CDEC","VNS",2021-10-20,"20",816.5625
"21","CDEC","VNS",2021-10-21,"20",993.208333333333
"22","CDEC","VNS",2021-10-22,"20",1083.03125
"23","CDEC","VNS",2021-10-23,"20",1299.82291666667
"24","CDEC","VNS",2021-10-24,"20",1461.72916666667
"25","CDEC","VNS",2021-10-25,"20",1749.30208333333
"26","CDEC","VNS",2021-10-26,"20",2169.72916666667
"27","CDEC","VNS",2021-10-27,"20",1662.15625
"28","CDEC","VNS",2021-10-28,"20",1383.21875
"29","CDEC","VNS",2021-10-29,"20",1356.29166666667
"30","CDEC","VNS",2021-10-30,"20",1300.84375
"31","CDEC","VNS",2021-10-31,"20",1447.97894736842
"32","CDEC","VNS",2021-11-01,"20",1552.76041666667
"33","CDEC","VNS",2021-11-02,"20",1396.33333333333
"34","CDEC","VNS",2021-11-03,"20",1172.55208333333
"35","CDEC","VNS",2021-11-04,"20",1105.25
"36","CDEC","VNS",2021-11-05,"20",968.221052631579
"37","CDEC","VNS",2021-11-06,"20",829.5625
"38","CDEC","VNS",2021-11-07,"20",754.916666666667
"39","CDEC","VNS",2021-11-08,"20",732.489583333333
"40","CDEC","VNS",2021-11-09,"20",716.729166666667
"41","CDEC","VNS",2021-11-10,"20",700.6875
"42","CDEC","VNS",2021-11-11,"20",662.854166666667
"43","CDEC","VNS",2021-11-12,"20",652.239583333333
"44","CDEC","VNS",2021-11-13,"20",609.65625
"45","CDEC","VNS",2021-11-14,"20",592.302083333333
"46","CDEC","VNS",2021-11-15,"20",597.822916666667
"47","CDEC","VNS",2021-11-16,"20",597.494736842105
"48","CDEC","VNS",2021-11-17,"20",595.708333333333
"49","CDEC","VNS",2021-11-18,"20",602.884210526316
"50","CDEC","VNS",2021-11-19,"20",601.875
"51","CDEC","VNS",2021-11-20,"20",608.541666666667
"52","CDEC","VNS",2021-11-21,"20",618.135416666667
"53","CDEC","VNS",2021-11-22,"20",620.40625
"54","CDEC","VNS",2021-11-23,"20",621.789473684211
"55","CDEC","VNS",2021-11-24,"20",615.510416666667
"56","CDEC","VNS",2021-11-25,"20",596.677083333333
"57","CDEC","VNS",2021-11-26,"20",596.854166666667
"58","CDEC","VNS",2021-11-27,"20",594.208333333333
"59","CDEC","VNS",2021-11-28,"20",590.821052631579
"60","CDEC","VNS",2021-11-29,"20",595.46875
"61","CDEC","VNS",2021-11-30,"20",592.968421052632
"62","CDEC","VNS",2021-12-01,"20",581.958333333333
"63","CDEC","VNS",2021-12-02,"20",559.354166666667
"64","CDEC","VNS",2021-12-03,"20",543.541666666667
"65","CDEC","VNS",2021-12-04,"20",533.916666666667
"66","CDEC","VNS",2021-12-05,"20",548.072916666667
"67","CDEC","VNS",2021-12-06,"20",556.536842105263
"68","CDEC","VNS",2021-12-07,"20",569.229166666667
"69","CDEC","VNS",2021-12-08,"20",549.677083333333
"70","CDEC","VNS",2021-12-09,"20",535.875
"71","CDEC","VNS",2021-12-10,"20",543.802083333333
"72","CDEC","VNS",2021-12-11,"20",565.229166666667
"73","CDEC","VNS",2021-12-12,"20",605.3125
"74","CDEC","VNS",2021-12-13,"20",654.416666666667
"75","CDEC","VNS",2021-12-14,"20",791.260416666667
"76","CDEC","VNS",2021-12-15,"20",1029.04210526316
"77","CDEC","VNS",2021-12-16,"20",1012.59375
"78","CDEC","VNS",2021-12-17,"20",1005.375
"79","CDEC","VNS",2021-12-18,"20",1029.21875
"80","CDEC","VNS",2021-12-19,"20",993.041666666667
"81","CDEC","VNS",2021-12-20,"20",975.416666666667
"82","CDEC","VNS",2021-12-21,"20",945.354166666667
"83","CDEC","VNS",2021-12-22,"20",830.458333333333
"84","CDEC","VNS",2021-12-23,"20",802.885416666667
"85","CDEC","VNS",2021-12-24,"20",981.364583333333
"86","CDEC","VNS",2021-12-25,"20",1169.05263157895
"87","CDEC","VNS",2021-12-26,"20",1338.11578947368
"88","CDEC","VNS",2021-12-27,"20",1605.83333333333
"89","CDEC","VNS",2021-12-28,"20",1986
"90","CDEC","VNS",2021-12-29,"20",2350.70833333333
"91","CDEC","VNS",2021-12-30,"20",2386.40625
"92","CDEC","VNS",2021-12-31,"20",2169.45833333333
"93","CDEC","VNS",2022-01-01,"20",2010.375
"94","CDEC","VNS",2022-01-02,"20",1749.58333333333
"95","CDEC","VNS",2022-01-03,"20",1452.91666666667
"96","CDEC","VNS",2022-01-04,"20",1260.3125
"97","CDEC","VNS",2022-01-05,"20",1166.70833333333
"98","CDEC","VNS",2022-01-06,"20",1100.625
"99","CDEC","VNS",2022-01-07,"20",1065.10526315789
"100","CDEC","VNS",2022-01-08,"20",1077.71875
"101","CDEC","VNS",2022-01-09,"20",1056.04166666667
"102","CDEC","VNS",2022-01-10,"20",1030.18947368421
"103","CDEC","VNS",2022-01-11,"20",996.989583333333
"104","CDEC","VNS",2022-01-12,"20",980.84375
"105","CDEC","VNS",2022-01-13,"20",969.5
"106","CDEC","VNS",2022-01-14,"20",959.364583333333
