DATE,State Daily Catch,State Daily Salvage,State Season Salvage,SWP Larvae Y or N,Federal Daily Catch,Federal Daily Salvage,Federal Season Salvage,CVP Larvae Y or N,Middle + Old R Net Daily Flow (cfs)
1/1/2023,0,0,0,NC,1,4,4,NC,-4270
1/2/2023,0,0,0,NC,0,0,4,NC,-3710
1/3/2023,0,0,0,NC,0,0,4,NC,-2777
1/4/2023,0,0,0,NC,0,0,4,NC,-3810
1/5/2023,0,0,0,NC,0,0,4,NC,-2705
1/6/2023,0,0,0,NC,0,0,4,NC,-546
1/7/2023,0,0,0,NC,0,0,4,NC,-2360
1/8/2023,0,0,0,NC,0,0,4,NC,-2578
1/9/2023,0,0,0,NC,0,0,4,NC,-2278
1/10/2023,0,0,0,NC,0,0,4,NC,-845
1/11/2023,0,0,0,NC,0,0,4,NC,-598
1/12/2023,0,0,0,NC,0,0,4,NC,-2166
1/13/2023,0,0,0,NC,0,0,4,NC,-2505
1/14/2023,0,0,0,NC,1,4,8,NC,-2626
1/15/2023,0,0,0,NC,1,4,12,NC,-1691
1/16/2023,0,0,0,NC,0,0,12,NC,233
1/17/2023,1,4,4,NC,0,0,12,NC,533
1/18/2023,0,0,4,NC,0,0,12,NC,-637
1/19/2023,0,0,4,NC,0,0,12,NC,-833
1/20/2023,0,0,4,NC,0,0,12,NC,-982
1/21/2023,0,0,4,NC,0,0,12,NC,-2143
1/22/2023,0,0,4,NC,0,0,12,NC,-2966
1/23/2023,0,0,4,NC,0,0,12,NC,-3234
1/24/2023,0,0,4,NC,0,0,12,NC,-4380
1/25/2023,0,0,4,NC,1,4,16,NC,-4860
1/26/2023,0,0,4,NC,0,0,16,NC,-5030
1/27/2023,0,0,4,NC,0,0,16,NC,-5900
1/28/2023,0,0,4,NC,0,0,16,NC,-6050
1/29/2023,0,0,4,NC,0,0,16,NC,-5230
1/30/2023,0,0,4,NC,0,0,16,NC,-5680
1/31/2023,0,0,4,NC,0,0,16,NC,-6040
2/1/2023,0,0,4,NC,0,0,16,NC,-5980
2/2/2023,0,0,4,NC,0,0,16,NC,-5860
2/3/2023,0,0,4,NC,0,0,16,NC,-5660
2/4/2023,0,0,4,NC,0,0,16,NC,-5910
2/5/2023,0,0,4,NC,0,0,16,NC,-5180
2/6/2023,0,0,4,NC,0,0,16,NC,-4030
2/7/2023,0,0,4,NC,0,0,16,NC,-4960
2/8/2023,0,0,4,NC,0,0,16,NC,-4750
2/9/2023,0,0,4,NC,0,0,16,NC,-5240
2/10/2023,0,0,4,NC,0,0,16,NC,-5880
2/11/2023,0,0,4,NC,0,0,16,NC,-5840
2/12/2023,0,0,4,NC,0,0,16,NC,-6040
2/13/2023,0,0,4,NC,0,0,16,NC,-5530
2/14/2023,0,0,4,NC,0,0,16,NC,-4380
2/15/2023,0,0,4,NC,0,0,16,NC,-5000
2/16/2023,0,0,4,NC,0,0,16,NC,-5180
2/17/2023,0,0,4,NC,0,0,16,NC,-5230
2/18/2023,0,0,4,NC,1,4,20,NC,-4120
2/19/2023,0,0,4,NC,0,0,20,NC,-3600
2/20/2023,0,0,4,NC,0,0,20,NC,-3890
2/21/2023,0,0,4,NC,0,0,20,NC,-3680
2/22/2023,0,0,4,NC,0,0,20,NC,-2257
2/23/2023,0,0,4,NC,0,0,20,NC,-3150
2/24/2023,0,0,4,NC,0,0,20,NC,-3690
2/25/2023,0,0,4,NC,0,0,20,NC,-3260
2/26/2023,0,0,4,NC,0,0,20,NC,-3250
2/27/2023,0,0,4,NC,0,0,20,NC,-3155
2/28/2023,0,0,4,NC,0,0,20,NC,-3286
3/1/2023,0,0,4,N,0,0,20,N,-2274
3/2/2023,1,2,6,N,0,0,20,N,-3273
3/3/2023,0,0,6,N,0,0,20,N,-5570
3/4/2023,0,0,6,N,0,0,20,N,-5590
3/5/2023,0,0,6,N,0,0,20,N,-4650
3/6/2023,0,0,6,N,0,0,20,N,-4470
3/7/2023,0,0,6,N,0,0,20,N,-5270
3/8/2023,0,0,6,N,0,0,20,N,-5800
3/9/2023,0,0,6,N,0,0,20,N,-5950
3/10/2023,0,0,6,N,0,0,20,N,-4900
3/11/2023,0,0,6,N,0,0,20,N,-4550
3/12/2023,0,0,6,N,0,0,20,N,-4820
3/13/2023,0,0,6,N,0,0,20,N,-3708
3/14/2023,0,0,6,N,0,0,20,N,-2275
3/15/2023,0,0,6,N,0,0,20,N,714
3/16/2023,0,0,6,N,0,0,20,N,4160
3/17/2023,0,0,6,N,0,0,20,N,7410
3/18/2023,0,0,6,N,0,0,20,N,8320
3/19/2023,0,0,6,N,0,0,20,N,8610
3/20/2023,0,0,6,N,0,0,20,N,9590
3/21/2023,0,0,6,N,0,0,20,N,8970
3/22/2023,0,0,6,N,0,0,20,N,9260
3/23/2023,0,0,6,N,0,0,20,N,10770
3/24/2023,0,0,6,N,0,0,20,N,11560
3/25/2023,0,0,6,N,0,0,20,N,10990
3/26/2023,0,0,6,N,0,0,20,N,10620
3/27/2023,0,0,6,N,0,0,20,N,ND
3/28/2023,0,0,6,N,0,0,20,N,ND
3/29/2023,0,0,6,N,0,0,20,N,ND
3/30/2023,0,0,6,N,0,0,20,N,ND
3/31/2023,0,0,6,N,0,0,20,N,11390
4/1/2023,0,0,6,N,0,0,20,N,11090
4/2/2023,0,0,6,N,0,0,20,N,11080
4/3/2023,0,0,6,N,0,0,20,N,11620
4/4/2023,0,0,6,N,0,0,20,N,10750
4/5/2023,0,0,6,N,0,0,20,N,9770
4/6/2023,0,0,6,N,0,0,20,N,10590
4/7/2023,0,0,6,N,0,0,20,N,11230
4/8/2023,0,0,6,N,0,0,20,N,11480
4/9/2023,0,0,6,N,0,0,20,N,11820
4/10/2023,0,0,6,N,0,0,20,N,11920
4/11/2023,0,0,6,N,0,0,20,N,12660
4/12/2023,0,0,6,N,0,0,20,N,13080
4/13/2023,0,0,6,N,0,0,20,N,12180
4/14/2023,0,0,6,N,0,0,20,N,11530
4/15/2023,0,0,6,N,0,0,20,N,11400
4/16/2023,0,0,6,N,0,0,20,N,11190
4/17/2023,0,0,6,N,0,0,20,N,NR
4/18/2023,0,0,6,N,0,0,20,N,NR
4/19/2023,0,0,6,N,0,0,20,N,NR
4/20/2023,0,0,6,N,0,0,20,N,NR
4/21/2023,0,0,6,N,0,0,20,N,7220
4/22/2023,0,0,6,N,0,0,20,N,8210
4/23/2023,0,0,6,N,0,0,20,N,9860
4/24/2023,0,0,6,N,0,0,20,N,10160
4/25/2023,0,0,6,N,0,0,20,N,10070
4/26/2023,0,0,6,N,0,0,20,N,9180
4/27/2023,0,0,6,N,0,0,20,N,7620
4/28/2023,0,0,6,N,0,0,20,N,7950
4/29/2023,0,0,6,N,0,0,20,N,9740
4/30/2023,0,0,6,N,0,0,20,N,10150
5/1/2023,0,0,6,N,0,0,20,N,8740
5/2/2023,0,0,6,N,0,0,20,N,7610
5/3/2023,0,0,6,N,0,0,20,N,6490
5/4/2023,0,0,6,N,0,0,20,N,6380
5/5/2023,0,0,6,N,0,0,20,N,6760
5/6/2023,0,0,6,N,0,0,20,N,6370
5/7/2023,0,0,6,N,0,0,20,N,6820
5/8/2023,0,0,6,N,0,0,20,N,8120
5/9/2023,0,0,6,N,0,0,20,N,9840
5/10/2023,0,0,6,N,0,0,20,N,11220
5/11/2023,0,0,6,N,0,0,20,N,9830
5/12/2023,0,0,6,N,0,0,20,N,6540
5/13/2023,0,0,6,N,0,0,20,N,6480
5/14/2023,0,0,6,N,0,0,20,N,8820
5/15/2023,0,0,6,NL,0,0,20,N,9520
5/16/2023,NS,NS,6,NL,0,0,20,N,8320
5/17/2023,NS,NS,6,NL,0,0,20,N,6300
5/18/2023,NS,NS,6,NL,0,0,20,N,4430
5/19/2023,0,0,6,N,0,0,20,N,4190
5/20/2023,0,0,6,N,0,0,20,N,2603
5/21/2023,0,0,6,N,0,0,20,N,1821
5/22/2023,0,0,6,N,0,0,20,N,2136
5/23/2023,0,0,6,N,0,0,20,N,2288
5/24/2023,0,0,6,N,0,0,20,N,2410
5/25/2023,0,0,6,N,0,0,20,N,2653
5/26/2023,0,0,6,N,0,0,20,N,3153
5/27/2023,0,0,6,N,0,0,20,N,2922
5/28/2023,0,0,6,N,0,0,20,N,3070
5/29/2023,0,0,6,N,0,0,20,N,4910
5/30/2023,0,0,6,N,0,0,20,N,5630
5/31/2023,0,0,6,N,0,0,20,N,4550
6/1/2023,0,0,6,N,0,0,20,N,3860
6/2/2023,0,0,6,N,0,0,20,N,4060
6/3/2023,0,0,6,N,0,0,20,N,4380
6/4/2023,0,0,6,N,0,0,20,N,4580
6/5/2023,0,0,6,N,0,0,20,N,4710
6/6/2023,0,0,6,N,0,0,20,N,6450
6/7/2023,0,0,6,SE,0,0,20,SE,7390
6/8/2023,0,0,6,SE,0,0,20,SE,5710
6/9/2023,0,0,6,SE,0,0,20,SE,4150
6/10/2023,0,0,6,SE,0,0,20,SE,4230
6/11/2023,0,0,6,SE,0,0,20,SE,5540
6/12/2023,0,0,6,SE,0,0,20,SE,5830
6/13/2023,0,0,6,SE,0,0,20,SE,4250
6/14/2023,0,0,6,SE,0,0,20,SE,2970
6/15/2023,0,0,6,SE,0,0,20,SE,2207
6/16/2023,0,0,6,SE,0,0,20,SE,1342
6/17/2023,0,0,6,SE,0,0,20,SE,1025
6/18/2023,0,0,6,SE,0,0,20,SE,1972
6/19/2023,0,0,6,SE,0,0,20,SE,1714
6/20/2023,0,0,6,SE,0,0,20,SE,1490
6/21/2023,0,0,6,SE,0,0,20,SE,NR
6/22/2023,0,0,6,SE,0,0,20,SE,NR
6/23/2023,0,0,6,SE,0,0,20,SE,NR
6/24/2023,0,0,6,SE,0,0,20,SE,NR
6/25/2023,0,0,6,SE,0,0,20,SE,NR
