"SampleTime","Facility","Species","Adipose Clip","Count Duration (minutes)","Pumping Duration (minutes)","Sample Fraction","Study Type","Length","nfish","Expanded Salvage","Loss"
"2022-12-30 19:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",235,1,4,17.32
"2023-01-01 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",244,1,4,2.72
"2023-01-04 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",369,1,4,2.72
"2023-01-11 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",192,1,4,2.72
"2023-01-13 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",255,1,4,2.72
"2023-01-14 19:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",191,1,4,17.32
"2023-01-18 09:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",20,120,0.17,"Normal count",234,1,6,25.98
"2023-01-29 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",288,1,4,2.72
"2023-02-01 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",234,1,2,8.66
"2023-02-04 11:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",227,1,4,17.32
"2023-02-08 02:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",222,1,4,2.72
"2023-02-09 15:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",229,1,4,17.32
"2023-02-13 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",279,1,4,17.32
"2023-02-14 07:40:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",256,1,1,4.33
"2023-02-14 09:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",243,1,1,0.68
"2023-02-14 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",217,1,4,17.32
"2023-02-14 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",239,1,4,17.32
"2023-02-17 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",179,1,4,2.72
"2023-02-18 14:45:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",230,1,1,4.33
"2023-02-25 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",256,1,4,2.72
"2023-02-25 20:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",205,1,4,2.72
"2023-02-27 10:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",227,1,4,2.72
"2023-02-28 02:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",249,1,4,2.72
"2023-02-28 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",228,1,4,2.72
"2023-02-28 22:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",286,1,4,2.72
"2023-03-01 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",245,1,4,2.72
